restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine
T003,Udon Don Bar (Create Way),Fries with Mentai Mayo,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,7.60,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Bacon Wrap Sausages,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,7.60,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Fried Gyoza with Yuzu Ponzu Chilli Oroshi,S$ 7.20,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,7.20,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Fried Gyoza with Aburi Mentai Mayo,S$ 7.20,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,7.20,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Edamame,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,7.60,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Luncheon Fries,S$ 8.80,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,8.80,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Crispy Chicken with Wasabi Mayo,S$ 8.80,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,8.80,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Onsen Egg,S$ 2.40,Ala Carte,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,2.40,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Miso Soup,S$ 2.80,Ala Carte,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,2.80,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Chawanmushi,S$ 3,Ala Carte,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,3,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Fruit Punch,S$ 1.80,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,1.80,fixed,Fruit punch cordial drink,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Coke,S$ 2,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,2,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Ice Green Tea,S$ 2,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,2,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Fanta Grape,S$ 2,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,2,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Calamansi,S$ 1.80,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,1.80,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
