"restaurant_id","restaurant_name","address","nea_grade","demerit_points","source_type","menu_source_url","menu_file","menu_status","notes"
"R048","GOH SOH CHENG","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R049","HEAVEN'S HERITAGE LLP","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R050","MORIN","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R051","SUDHEER S/O MOHAMED YOUSOFF","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R052","TIONG SIEW YUE","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R053","YAA SIIN FAMILY PTE. LTD.","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R054","ZHENG RONGSHENG","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R055","ZHENG RONGSHENG","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","B","na","manual_or_html","","","to_find",""
"R056","ZHENG RONGSHENG","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R057","ZHENG RONGSHENG","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R058","IFOOD PTE LTD","1 NORTH BUONA VISTA DRIVE #01-K1 MOE HQ BUILDING SINGAPORE 138675","A","na","manual_or_html","","","to_find",""
"R059","AISHAN BINTI MUSTAFFA","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","B","na","manual_or_html","","","to_find",""
"R060","CHONG KIN MEOI","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","A","na","manual_or_html","","","to_find",""
"R061","LEE YOKE WAH","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","A","na","manual_or_html","","","to_find",""
"R062","NG KIM KOON","1 SCIENCE PARK DRIVE #B1-41D TUV PSB BUILDING SINGAPORE 118221","A","na","manual_or_html","","","to_find",""
"R063","ASHOKA TANDOOR PTE. LTD.","1 SCIENCE PARK ROAD #01-11 THE CAPRICORN SINGAPORE SCIENCE PARK II SINGAPORE 117528","B","na","manual_or_html","","","to_find",""
"R064","HO CHANG HOONG","10 KENT RIDGE CRESCENT BLOCK E2 FACULTY OF ENGINEERING NUS SINGAPORE 119260","A","na","manual_or_html","","","to_find",""
"R065","MCDONALD'S RESTAURANTS PTE. LTD.","10 KENT RIDGE CRESCENT NATIONAL UNIVERSITY OF SINGAPORE SINGAPORE 119260","A","na","manual_or_html","","","to_find",""
"R066","TAN SIEW HOON","10 KENT RIDGE CRESCENT NUS - ENGINEERING FACULTY BLOCK E4 SINGAPORE 119260","A","na","manual_or_html","","","to_find",""
"R067","TAN SIEW HOON","10 KENT RIDGE CRESCENT NUS FACULTY OF SCIENCE BLOCK S16 SINGAPORE 119260","A","na","manual_or_html","","","to_find",""
"R068","2 IC CATERING PRIVATE LIMITED","10 KENT RIDGE DRIVE EUSOFF HALL NUS SINGAPORE 119242","A","na","manual_or_html","","","to_find",""
"R069","STARBUCKS COFFEE SINGAPORE PTE. LTD.","10 MEDICAL DRIVE #01-40 YONG LOO LIN SCHOOL OF MEDICINE BLK MD11 NUS SINGAPORE 117597","A","na","manual_or_html","","","to_find",""
"R070","REEDZ PTE. LTD.","10 SCIENCE PARK ROAD #01-10 THE ALPHA SINGAPORE 117684","A","na","manual_or_html","","","to_find",""
"R071","BAY SIEU LIN","10 SCIENCE PARK ROAD #02-29 THE ALPA SINGAPORE SCIENCE PARK 11 SINGAPORE 117684","A","na","manual_or_html","","","to_find",""
"R072","WEE TIONG POH","10 WEST COAST WALK CLEMENTI STADIUM SINGAPORE 127156","B","na","manual_or_html","","","to_find",""
"R073","CHEERS HOLDINGS (2004) PTE. LTD.","100 NORTH BUONA VISTA ROAD #01-01 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","manual_or_html","","","to_find",""
"R074","KOI CAFE GROUP (S) PTE. LTD.","100 NORTH BUONA VISTA ROAD #01-02/03 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","manual_or_html","","","to_find",""
"R075","TAN BEE BEE","100 NORTH BUONA VISTA ROAD #01-04 & #01-06 BUONA VISTA MRT STATION SINGAPORE 139345","B","6","manual_or_html","","","to_find",""
