"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"KHU LIM HUA","PPF0110001","PASIR PANJANG FOOD CENTRE Stall No 01-10","B","na","na","na"
"KHU LIM HUA","PPF0111001","PASIR PANJANG FOOD CENTRE Stall No 01-11","B","na","na","na"
"KHU LIM HUA","PPF0112001","PASIR PANJANG FOOD CENTRE Stall No 01-12","B","na","na","na"
"LIM LAI HONG","PPF0113002","PASIR PANJANG FOOD CENTRE Stall No 01-13","B","na","na","na"
"TAY SOON HOCK","PPF0115001","PASIR PANJANG FOOD CENTRE Stall No 01-15","B","na","na","na"
"REYNETT XUE YI LING","PPF0116002","PASIR PANJANG FOOD CENTRE Stall No 01-16","B","na","na","na"
"SHUHANA BINTE MOHAMED SOOKOR","PPF0117002","PASIR PANJANG FOOD CENTRE Stall No 01-17","B","na","na","na"
"SHUHANA BINTE MOHAMED SOOKOR","PPF0118003","PASIR PANJANG FOOD CENTRE Stall No 01-18","B","na","na","na"
"NG AIK HUANG","PPF0119001","PASIR PANJANG FOOD CENTRE Stall No 01-19","B","na","na","na"
"PANIPAK YONG","PPF0120004","PASIR PANJANG FOOD CENTRE Stall No 01-20","A","na","na","na"
"YUSOFF BIN JALAL","PPF0121001","PASIR PANJANG FOOD CENTRE Stall No 01-21","B","na","na","na"
"MUJIAH","PPF0122001","PASIR PANJANG FOOD CENTRE Stall No 01-22","B","na","na","na"
"CHONG CHIN FOO","PPF0123001","PASIR PANJANG FOOD CENTRE Stall No 01-23","B","na","na","na"
"CHONG CHIN FOO","PPF0124001","PASIR PANJANG FOOD CENTRE Stall No 01-24","B","na","na","na"
"TAN NGOH MOI","PPF0126001","PASIR PANJANG FOOD CENTRE Stall No 01-26","B","na","na","na"
"SHEIKH SYED ISMAIL S/O ABDUL KALAM AZAD","PPF0127001","PASIR PANJANG FOOD CENTRE Stall No 01-27","B","na","na","na"
"MOHAMMED SALLEH BIN MASHOOD","PPF0128002","PASIR PANJANG FOOD CENTRE Stall No 01-28","B","na","na","na"
"SEAH SEOK YONG","PPF0129001","PASIR PANJANG FOOD CENTRE Stall No 01-29","B","na","na","na"
"YEO SEE HOCK","PPF0130002","PASIR PANJANG FOOD CENTRE Stall No 01-30","B","na","na","na"
"YEO SEE HOCK","PPF0131002","PASIR PANJANG FOOD CENTRE Stall No 01-31","B","na","na","na"
"SEAH MENG HWEE","PPF0132003","PASIR PANJANG FOOD CENTRE Stall No 01-32","B","na","na","na"
"HOONG SIEW YIN","PPF0133001","PASIR PANJANG FOOD CENTRE Stall No 01-33","B","na","na","na"
"NG CHENG LUAN","PPF0134002","PASIR PANJANG FOOD CENTRE Stall No 01-34","B","na","na","na"
"ANG KOR HUAT","PPF0135005","PASIR PANJANG FOOD CENTRE Stall No 01-35","B","na","na","na"
"TAN BOON HUAT","PPF0136002","PASIR PANJANG FOOD CENTRE Stall No 01-36","B","na","na","na"
"QUEE MUE SIAM","PPF0137003","PASIR PANJANG FOOD CENTRE Stall No 01-37","B","na","na","na"
"KHOO SONG HEE","PPF0139002","PASIR PANJANG FOOD CENTRE Stall No 01-39","B","na","na","na"
"GOH JIK HWA","PPF0140002","PASIR PANJANG FOOD CENTRE Stall No 01-40","B","na","na","na"
"PANG THENG KEE","PPF0141001","PASIR PANJANG FOOD CENTRE Stall No 01-41","B","na","na","na"
"TRAIYAN RUNG","PPF0142004","PASIR PANJANG FOOD CENTRE Stall No 01-42","B","na","na","na"
"CHANG CHEE KEONG","PPF0143004","PASIR PANJANG FOOD CENTRE Stall No 01-43","B","na","na","na"
"TRAN THI BICH HANG","PPF0144002","PASIR PANJANG FOOD CENTRE Stall No 01-44","B","na","na","na"
"TOCK POH LIAN","PPF0145001","PASIR PANJANG FOOD CENTRE Stall No 01-45","A","6","na","na"
